10.1.1.10,10.10.6.10,57735,20000,TCP,15818,2876,4/24/2019 0:00,substation6,IED,normal
10.1.1.10,10.12.5.10,59758,20000,TCP,13576,2631.7,4/24/2019 0:00,substation23,IED,normal
10.1.1.10,10.13.4.10,50917,20000,TCP,14638,2968.1,4/24/2019 0:00,substation31,IED,normal
10.1.1.10,10.18.6.10,61517,20000,TCP,12621,2483.2,4/24/2019 0:00,substation78,IED,normal
10.1.1.10,10.21.9.10,62868,20000,TCP,13430,3006,4/24/2019 0:00,substation108,IED,normal
10.1.1.10,10.26.3.10,52788,20000,TCP,13198,3285.7,4/24/2019 0:00,substation147,IED,normal
10.1.1.10,10.27.1.10,50260,20000,TCP,17849,3060.6,4/24/2019 0:00,substation154,IED,normal
10.1.1.10,10.27.8.10,58960,20000,TCP,13681,2578.5,4/24/2019 0:00,substation161,IED,normal
10.1.1.10,10.29.2.10,62567,20000,TCP,12647,2701.1,4/24/2019 0:00,substation173,IED,normal
10.1.1.10,10.32.5.10,50151,20000,TCP,12822,2967.6,4/24/2019 0:00,substation203,IED,normal
10.1.1.10,10.36.4.10,65359,20000,TCP,13246,3128.4,4/24/2019 0:00,substation238,IED,normal
10.1.1.10,10.36.8.10,61679,20000,TCP,14205,2596.4,4/24/2019 0:00,substation242,IED,normal
10.1.1.10,10.38.2.10,50402,20000,TCP,14156,2891.2,4/24/2019 0:00,substation254,IED,normal
10.1.1.10,10.38.4.10,54547,20000,TCP,16803,2937.7,4/24/2019 0:00,substation256,IED,normal
10.1.1.10,10.11.6.10,54149,20000,TCP,12121,2578,4/24/2019 0:01,substation15,IED,normal
10.1.1.10,10.13.7.10,49232,20000,TCP,15701,3587.5,4/24/2019 0:01,substation34,IED,normal
10.1.1.10,10.20.1.10,54217,20000,TCP,13734,3237.2,4/24/2019 0:01,substation91,IED,normal
10.1.1.10,10.21.7.10,51291,20000,TCP,12153,2648.4,4/24/2019 0:01,substation106,IED,normal
10.1.1.10,10.22.7.10,60105,20000,TCP,16903,2962.9,4/24/2019 0:01,substation115,IED,normal
10.1.1.10,10.23.4.10,58536,20000,TCP,12105,2739.2,4/24/2019 0:01,substation121,IED,normal
10.1.1.10,10.27.3.10,50999,20000,TCP,12663,2730.1,4/24/2019 0:01,substation156,IED,normal
10.1.1.10,10.28.5.10,49982,20000,TCP,12991,2717,4/24/2019 0:01,substation167,IED,normal
10.1.1.10,10.28.9.10,65334,20000,TCP,17081,3067.7,4/24/2019 0:01,substation171,IED,normal
10.1.1.10,10.32.7.10,53969,20000,TCP,16932,3228.4,4/24/2019 0:01,substation205,IED,normal
10.1.1.10,10.33.3.10,50512,20000,TCP,12758,3493.2,4/24/2019 0:01,substation210,IED,normal
10.1.1.10,10.35.7.10,51465,20000,TCP,16530,2727.6,4/24/2019 0:01,substation232,IED,normal
10.1.1.10,10.37.5.10,63896,20000,TCP,12426,2482,4/24/2019 0:01,substation248,IED,normal
10.1.1.10,10.38.7.10,50875,20000,TCP,16926,2788.7,4/24/2019 0:01,substation259,IED,normal
10.1.1.10,10.39.1.10,59886,20000,TCP,13769,3455.8,4/24/2019 0:01,substation262,IED,normal
10.1.1.10,10.39.7.10,57183,20000,TCP,17055,3470.5,4/24/2019 0:01,substation268,IED,normal
